Código Antiguo ;Código Vigente;Código  Madre Antiguo;Código Madre Nuevo;Código Región;Nombre Región;Código Dependencia Jerárquica (SEREMI / Servicio de Salud);Nombre Dependencia Jerárquica (SEREMI / Servicio de Salud);Pertenencia al SNSS;Tipo Establecimiento (Unidad);Ámbito de Funcionamiento;Nombre Oficial;Certificación ;Dependencia Administrativa;Nivel de Atención;Código Comuna;Nombre Comuna;Vía;Número;Dirección;Teléfono;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia ;Clasificcion Tipo de SAPU;LATITUD      [Grados decimales];LONGITUD [Grados decimales];Tipo de Prestador Sistema de Salud;Estado de Funcionamiento;Nivel de Complejidad;Tipo de Atención ;
33-474;133474;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Calén;No Aplica;Municipal;Primario;10205;Dalcahue;Calle;;Caserío Calén;;38716;NO;No Aplica;No Aplica;-42,328261;-73,459904;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-731;124731;24-531;124531;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar de Ayacara;No Aplica;Municipal;Primario;10401;Chaitén;Calle;;Sector Ayacara ;;38716;NO;No Aplica;No Aplica;-42,318531;-72,787848;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-496;133496;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Tenaún;No Aplica;Municipal;Primario;10205;Dalcahue;Calle;;Caserío de Tenaún;;38716;NO;No Aplica;No Aplica;-42,315771;-73,386602;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-514;133514;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Mechuque;No Aplica;Municipal;Primario;10209;Quemchi;Calle;;Sector Mechuque;985277359;38716;NO;No Aplica;No Aplica;-42,315453;-73,268407;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-517;133517;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Voigue;No Aplica;Municipal;Primario;10209;Quemchi;Calle;;Sector Voigue;985281459;38716;NO;No Aplica;No Aplica;-42,3014;-73,218262;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-740;133740;33-340;133340;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Metahue;No Aplica;Municipal;Primario;10209;Quemchi;Calle;;Isla Butachauques, sector Metahue;994350094;38716;NO;No Aplica;No Aplica;-42,299333;-73,127185;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-546;133546;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Puchaurán;No Aplica;Municipal;Primario;10205;Dalcahue;Calle;;Sector Puchaurán;;38716;NO;No Aplica;No Aplica;-42,272521;-73,520803;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-497;133497;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quicaví;No Aplica;Municipal;Primario;10209;Quemchi;Calle;;Sector Quicaví;993223691;38716;NO;No Aplica;No Aplica;-42,26747;-73,353073;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-495;133495;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Montemar;No Aplica;Municipal;Primario;10209;Quemchi;Calle;;Sector Montemar Bajo;994336465;38716;NO;No Aplica;No Aplica;-42,259591;-73,428059;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-559;133559;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Butalcura;No Aplica;Municipal;Primario;10205;Dalcahue;Calle;;Localidad Butalcura Km. 60 Ruta 5 Sur;;38716;NO;No Aplica;No Aplica;-42,253691;-73,706321;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-548;124548;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Hueque;No Aplica;Municipal;Primario;10401;Chaitén;Calle;;Sector Hueque;;38716;NO;No Aplica;No Aplica;-42,249335;-72,737353;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-494;133494;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quinterquén;No Aplica;Municipal;Primario;10209;Quemchi;Calle;;Sector Quinterquén;994337230;31048;NO;No Aplica;No Aplica;-42,168372;-73,396938;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-340;133340;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Quemchi;Centro de Salud Familiar;Municipal;Primario;10209;Quemchi;Avenida;;Johnstone;652891231;42149;NO;No Aplica;No Aplica;-42,145584;-73,479167;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-911;200732;33-340;133340;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Quemchi;No Aplica;Municipal;Primario;10209;Quemchi;Avenida;;Johnstone;;38716;SI;Urgencia Ambulatoria (SUR);No Aplica;-42,145307;-73,478935;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-907;200449;33-390;133390;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Puntra Degañ;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Panamericana Sur, cruce ruta W5, camino a Quemchi;968786403;43139;NO;No Aplica;No Aplica;-42,144436;-73,718649;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-493;133493;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Morrolobos;No Aplica;Municipal;Primario;10209;Quemchi;Calle;;Sector Morrolobos;994419876;31048;NO;No Aplica;No Aplica;-42,121313;-73,407846;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-415;124415;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Paso El Bolsón o Segundo Corral;No Aplica;Municipal;Primario;10103;Cochamó;Calle;;Sector Paso El Bolsón o Segundo Corral;;38716;NO;No Aplica;No Aplica;-42,066398;-71,855425;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-492;133492;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Lliuco (Quemchi);No Aplica;Municipal;Primario;10209;Quemchi;Calle;;Sector Lliuco;993453136;38716;NO;No Aplica;No Aplica;-42,030225;-73,472729;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-557;133557;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Coipomo;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Sector Coipomo;983440711;38716;NO;No Aplica;No Aplica;-42,024929;-73,906437;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-420;124420;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Hualaihué;No Aplica;Servicio de Salud;Primario;10403;Hualaihué;Calle;;Hualaihué Puerto;650825 ;38716;NO;No Aplica;No Aplica;-42,023283;-72,686574;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-982;200082;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Chauchil;No Aplica;Servicio de Salud;Primario;10403;Hualaihué;Calle;;Sector Chauchil;;41936;NO;No Aplica;No Aplica;-41,973685;-72,799931;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-485;133485;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Linao;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Sector Linao;993270489;38716;NO;No Aplica;No Aplica;-41,967989;-73,557292;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-380;124380;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Río Negro Hornopirén;Centro de Salud Familiar;Servicio de Salud;Primario;10403;Hualaihué;Calle;25;Diego Portales ;652328630;38716;SI;Confirmar;No Aplica;-41,962714;-72,468897;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-418;124418;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Rolecha;No Aplica;Servicio de Salud;Primario;10403;Hualaihué;Calle;;Aldea de Rolecha;;38716;NO;No Aplica;No Aplica;-41,922049;-72,847549;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-454;124454;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Tabón;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Tabón;;38716;NO;No Aplica;No Aplica;-41,903047;-73,106754;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-489;133489;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Manao;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Sector Manano;993813299;38716;NO;No Aplica;No Aplica;-41,883405;-73,52349;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-325;133325;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Pudeto Bajo;Centro de Salud Familiar;Municipal;Primario;10202;Ancud;Calle;;Población Padre Hurtado;652623622;38716;NO;No Aplica;No Aplica;-41,879145;-73,796825;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-552;124552;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Queullín;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Queullín;;38716;NO;No Aplica;No Aplica;-41,877262;-72,903449;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-725;133725;33-390;133390;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Bellavista;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Manuel Velasquez;652628283;38716;NO;No Aplica;No Aplica;-41,876706;-73,824864;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-417;124417;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Aulén;No Aplica;Servicio de Salud;Primario;10403;Hualaihué;Calle;;Caserío de Aulén;;38716;NO;No Aplica;No Aplica;-41,876673;-72,80968;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-414;124414;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Llanada Grande;No Aplica;Municipal;Primario;10103;Cochamó;Calle;;Sector de Llanada Grande;;38716;NO;No Aplica;No Aplica;-41,874266;-71,935967;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-487;133487;33-390;133390;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Quetalmahue;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Sector Quetalmahue;985021092;38716;NO;No Aplica;No Aplica;-41,871467;-73,946245;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-204;133204;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico de la AChS Ancud;No Aplica;Privado;Secundario;10202;Ancud;Calle;1322;Almirante Latorre;652622737;38716;NO;No Aplica;No Aplica;-41,870191;-73,807939;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-903;200399;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Bionet S.A. - Ancud;No Aplica;Privado;No Aplica;10202;Ancud;Calle;356;Eleuterio Ramirez;;41082;NO;No Aplica;No Aplica;-41,869578;-73,825343;Privado;Vigente en operación habitual;No Aplica;No Aplica;
33-281;133281;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico Instituto de Seguridad del Trabajo de Ancud;No Aplica;Privado;Secundario;10202;Ancud;Calle;251;Pudeto;652622259;38716;NO;No Aplica;No Aplica;-41,868452;-73,827065;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-200;133200;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio Rosalía Muñoz;No Aplica;Privado;Primario;10202;Ancud;Calle;308;Aníbal Pinto;652623096;38716;NO;No Aplica;No Aplica;-41,868416;-73,825854;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-205;133205;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico y Hematológico Ancud;No Aplica;Privado;No Aplica;10202;Ancud;Calle;308;Aníbal Pinto;;37936;NO;No Aplica;No Aplica;-41,86839;-73,825837;Privado;Vigente en operación habitual;No Aplica;No Aplica;
33-390;133390;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Manuel Ferreira Guzman;Centro de Salud Familiar;Municipal;Primario;10202;Ancud;Calle;750;Almirante Latorre ;652623623;38716;NO;No Aplica;No Aplica;-41,866796;-73,816608;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
201067;201067;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR ANCUD;No Aplica;Municipal;Primario;10202;Ancud;Calle;750;Almirante Latorre ;652623623;44347;SI;Urgencia ambulatoria (SAR);No Aplica;-41,866796;-73,816608;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
33-155;133155;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital de Ancud;No Aplica;Servicio de Salud;Terciario;10202;Ancud;Calle;301;Almirante Latorre ;652656356;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-41,86523;-73,823832;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
33-905;200401;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico y Hematológico San José;No Aplica;Privado;No Aplica;10202;Ancud;Calle;279;Baquedano;;35244;NO;No Aplica;No Aplica;-41,864178;-73,827893;Privado;Vigente en operación habitual;No Aplica;No Aplica;
33-971;200071;;;10;Región De Los Lagos;10;SEREMI De Los Lagos;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico de la Mutual de Seguridad CChC Ancud;No Aplica;Privado;Secundario;10202;Ancud;Calle;503;O'Higgins;652623028;36109;NO;No Aplica;No Aplica;-41,863985;-73,827889;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-458;124458;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Pergue;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Pergue;;38716;NO;No Aplica;No Aplica;-41,85727;-72,995008;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-486;133486;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Chacao;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Aldea de Chacao;652696244;38716;NO;No Aplica;No Aplica;-41,828939;-73,52707;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-915;200736;33-486;133486;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;SUR Chacao;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Aldea de Chacao;;38716;SI;Urgencia Ambulatoria (SUR);No Aplica;-41,828651;-73,52584;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-542;133542;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Caulín;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Sector Caulín;997468119;38716;NO;No Aplica;No Aplica;-41,826325;-73,627449;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-490;133490;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Guabún;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Sector Guabún;981697250;38716;NO;No Aplica;No Aplica;-41,8226;-74,035202;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
33-488;133488;;;10;Región De Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Nal;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Sector Nal;994447180;38716;NO;No Aplica;No Aplica;-41,820743;-73,928548;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-537;124537;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Chope;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Chope;;38716;NO;No Aplica;No Aplica;-41,818624;-73,075023;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-456;124456;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Chauquear;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Chauquear;;38716;NO;No Aplica;No Aplica;-41,809546;-73,047502;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-419;124419;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Contao;No Aplica;Servicio de Salud;Primario;10403;Hualaihué;Calle;;Aldea de Contao;;38716;NO;No Aplica;No Aplica;-41,80106;-72,721461;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-457;124457;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Chayahue;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Chayahue;;38716;NO;No Aplica;No Aplica;-41,795749;-73,357449;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-448;124448;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Pargua;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Aldea de Pargua;;38716;NO;No Aplica;No Aplica;-41,790818;-73,46029;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-551;124551;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Machil;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Machil;;38716;NO;No Aplica;No Aplica;-41,776283;-73,066385;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-451;124451;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Aguantao;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Aguantao;;38716;NO;No Aplica;No Aplica;-41,774364;-73,289517;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-460;124460;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural San Antonio (Calbuco);No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector San Antonio;;38716;NO;No Aplica;No Aplica;-41,774038;-73,234689;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-130;124130;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital de Calbuco;No Aplica;Servicio de Salud;Primario;10102;Calbuco;Calle;450;Eulogio Goycolea;652328840;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-41,769823;-73,133167;Público ;Vigente en operación habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
24-396;124396;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Calbuco;Centro de Salud Familiar;Municipal;Primario;10102;Calbuco;Calle;132;Eulogio Goycolea, esquina Manuel Rodríguez;;38716;NO;No Aplica;No Aplica;-41,769696;-73,129363;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-450;124450;24-396;124396;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Texas;No Aplica;Municipal;Primario;10102;Calbuco;Calle;417;Pedro Félix, Sector San Rafael;652779390;38716;NO;No Aplica;No Aplica;-41,755951;-73,152242;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-445;124445;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Astillero;No Aplica;Municipal;Primario;10108;Maullín;Calle;;Sector Astillero;;38716;NO;No Aplica;No Aplica;-41,754827;-73,602262;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
24-453;124453;;;10;Región De Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Avellanal;No Aplica;Municipal;Primario;10102;Calbuco;Calle;;Sector Avellanal;;38716;NO;No Aplica;No Aplica;-41,753619;-73,408515;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
