Código Antiguo ;Código Vigente;Código  Madre Antiguo;Código Madre Nuevo;Código Región;Nombre Región;Código Dependencia Jerárquica (SEREMI / Servicio de Salud);Nombre Dependencia Jerárquica (SEREMI / Servicio de Salud);Pertenencia al SNSS;Tipo Establecimiento (Unidad);Ámbito de Funcionamiento;Nombre Oficial;Certificación ;Dependencia Administrativa;Nivel de Atención;Código Comuna;Nombre Comuna;Vía;Número;Dirección;Teléfono;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia ;Clasificcion Tipo de SAPU;LATITUD      [Grados decimales];LONGITUD [Grados decimales];Tipo de Prestador Sistema de Salud;Estado de Funcionamiento;Nivel de Complejidad;Tipo de Atención ;
10-505;110505;;;13;Región Metropolitana de Santiago;10;Servicio de Salud Metropolitano Occidente;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Pichi;No Aplica;Municipal;Primario;13502;Alhué;Calle;;Sector Pichi;;38716;NO;No Aplica;No Aplica;-33,984427;-71,063058;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-803;113803;13-303;113303;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR Dr. Amador Neghme R.;No Aplica;Municipal;Primario;13121;Pedro Aguirre Cerda;Calle;6043;Llanquihue;226124574;38716;SI;Urgencia ambulatoria (SAR);No Aplica;-33,503567;-70,675846;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
13-303;113303;;;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Amador Neghme;Centro de Salud Familiar;Municipal;Primario;13121;Pedro Aguirre Cerda;Calle;2810;Alhué ;223965592;38716;NO;No Aplica;No Aplica;-33,503461;-70,676059;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-607;111607;11-010;111010;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Maipú;No Aplica;Municipal;Secundario;13119;Maipú;Calle;1000;O'Higgins;227667286;38716;NO;No Aplica;No Aplica;-33,502803;-70,769791;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
13-304;113304;;;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Villa Sur;Centro de Salud Familiar;Municipal;Primario;13121;Pedro Aguirre Cerda;Calle;6035;Clotario Blest ;225214665;38716;NO;No Aplica;No Aplica;-33,501583;-70,680724;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
12-312;112312;;;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Félix de Amesti;Centro de Salud Familiar;Municipal;Primario;13118;Macul;Calle;5557;El Líbano ;227192800;38716;NO;No Aplica;No Aplica;-33,501502;-70,593927;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-307;111307;;;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Enfermera Sofía Pincheira;Centro de Salud Familiar;Servicio de Salud;Primario;13102;Cerrillos;Avenida;7590;Las Torres;225747800;38716;NO;No Aplica;No Aplica;-33,501479;-70,733545;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-903;200189;11-307;111307;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR Enfermera Sofía Pincheira;No Aplica;Servicio de Salud;Primario;13102;Cerrillos;Avenida;7590;Las Torres;225747800;42628;SI;Urgencia ambulatoria (SAR);No Aplica;-33,501479;-70,733545;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
12-101;112101;;;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Luis Tisné B. (Santiago, Peñalolén);Autogestionado en Red ( EAR);Servicio de Salud;Terciario;13122;Peñalolén;Avenida;5150;Las Torres ;224725200;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-33,501328;-70,579408;Público ;Vigente en operación habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
12-300;112300;;;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Referencia de Salud (CRS);Establecimiento de Salud;Centro de Referencia de Salud Cordillera Oriente;No Aplica;Servicio de Salud;Secundario;13122;Peñalolén;Avenida;5100;Las Torres ;225688200;38716;NO;No Aplica;No Aplica;-33,500951;-70,579232;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
11-912;200564;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Holanda Ltda.;No Aplica;Privado;No Aplica;13119;Maipú;Avenida;2989;Manuel Rodríguez;228360700;37776;NO;No Aplica;No Aplica;-33,500558;-70,759935;Privado;Vigente en operación habitual;No Aplica;No Aplica;
13-703;113703;13-303;111303;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Dr. Miguel Enríquez Espinosa;No Aplica;Municipal;Primario;13121;Pedro Aguirre Cerda;Calle;6041;Cooperación ;223965660;39759;NO;No Aplica;No Aplica;-33,500272;-70,685521;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-258;113258;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;San Nicolás;No Aplica;Privado;No Aplica;13130;San Miguel;Avenida;5018;Gran Avenida José Miguel Carrera;225514611;39814;NO;No Aplica;No Aplica;-33,499819;-70,653569;Privado;Vigente en operación habitual;No Aplica;No Aplica;
13-907;200337;13-305;113305;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Martín Henríquez;No Aplica;Municipal;Primario;13129;San Joaquín;Calle;4537;Martín Henríquez; 226124506;42865;NO;No Aplica;No Aplica;-33,498912;-70,632734;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
